time,wealthlevels_bottom40,wealthlevels_next40,wealthlevels_top20,tot_hhs_bottom40,tot_hhs_next40,tot_hhs_top20,tot_wealth,sharebottom40,quantile_bottom40,sharenext40,quantile_next40,sharetop20,quantile_top20
1989-Q3,3.3465976497359998e6,8.21825337015e6,1.9471563905706e7,37206218,37210042,18603841,3.1036414925591998e7,10.782809991937771,89947.26767810692,26.479390064389797,220861.1688788204,62.737799943672435,1.0466421372718677e6
1989-Q4,3.303590310067e6,8.197878566536e6,1.9655470928661e7,37303364,37304601,18654274,3.1156939805264e7,10.603064135036956,88560.11779707053,26.311565313455333,219755.16013523372,63.085370551507715,1.0536711816638375e6
1990-Q1,3.3698272016600003e6,8.195527967272e6,1.9251529431772e7,37400240,37399193,18704336,3.0816884600704e7,10.93500282498711,90101.75340211722,26.594278018241912,219136.4922572527,62.47071915677098,1.0292548974618505e6
1990-Q2,3.3331510960605e6,8.162668225370999e6,1.93402697992955e7,37496906,37493866,18754067,3.0836089120727e7,10.809253673547293,88891.36335836616,26.471152659512597,217706.7636975872,62.71959366694011,1.0312573693639624e6
1990-Q3,3.4112129180590003e6,8.114509830437e6,1.866376567816e7,37593418,37588661,18803507,3.0189488426656e7,11.29933992206058,90739.63208290878,26.878593355931933,215876.53336300008,61.822066722007484,992568.3372872943
1990-Q4,3.42117262685e6,8.175724546970501e6,1.89389977813555e7,37689836,37683628,18852699,3.0535894955176003e7,11.203773892568007,90771.75679007996,26.7741441964342,216956.93808914846,62.022081910997784,1.0045775292628127e6
1991-Q1,3.41814105743e6,8.21399132383e6,1.936771352005e7,37786219,37778809,18901682,3.099984590131e7,11.026316286577268,90459.99170835273,26.496877919908922,217423.24708621704,62.47680579351381,1.0246555581693735e6
1991-Q2,3.4539889124545003e6,8.1661071957675e6,1.909688085687375e7,37882624,37874250,18950499,3.071697696509575e7,11.244560024182489,91176.07355959556,26.584996319939926,215611.06017327076,62.170443655877584,1.0077244328433647e6
1991-Q3,3.5326682600144995e6,8.283737485568999e6,1.9047450817482e7,37979111,37969997,18999188,3.08638565630655e7,11.445971610177882,93016.08613257165,26.83960595994369,218165.34474756476,61.714422429878425,1.0025402568510823e6
1991-Q4,3.5804461029504994e6,8.366520444648999e6,1.95639668128245e7,38075738,38066095,19047791,3.1510933360423997e7,11.362551727672223,94034.84452357823,26.5511666980861,219789.30186164353,62.086281574241674,1.0270989855371943e6
1992-Q1,3.526679596846e6,8.357220399538e6,1.9338853155786e7,38172563,38162588,19096349,3.1222753152170002e7,11.295223005024761,92387.81259843621,26.766442916828964,218989.87562211452,61.93833407814626,1.0126989800922679e6
1992-Q2,3.4934536703715e6,8.354087339369749e6,1.9153671642165497e7,38269646,38259523,19144903,3.1001212651906744e7,11.268764578977311,91285.23609472375,26.947614705181305,218353.1493419233,61.783620715841394,1.0004580144472654e6
1992-Q3,3.6028488485069997e6,8.449927199415e6,1.91016602297415e7,38367044,38356944,19193494,3.11544362776635e7,11.564480950310438,93904.78058479041,27.122709344201052,220297.1957154616,61.31280970548851,995215.3698405043
1992-Q4,3.6426232580485004e6,8.54606125174475e6,1.9534503284466002e7,38464829,38454909,19242167,3.1723187794259254e7,11.482525910298595,94700.10273667148,26.939478173411306,222235.89845823718,61.57799591629009,1.0151924824509632e6
1993-Q1,3.4984961189e6,8.4271840217e6,1.99055157131e7,38563120,38553525,19291001,3.18311958537e7,10.990778150401601,90721.29326932054,26.474607050367666,218584.008121177,62.53461479923074,1.0318549935848326e6
1993-Q2,3.569057941602e6,8.458878699964e6,1.9894750809614003e7,38662048,38652909,19340075,3.1922687451180004e7,11.180317907319774,92314.24940556692,26.498015597528656,218841.96865917646,62.321666495151575,1.0286801271253604e6
1993-Q3,3.6584462223360003e6,8.513434527072001e6,2.0030185357888002e7,38761745,38753182,19389472,3.2202066107296005e7,11.360905260383612,94382.90826008996,26.437541301559893,219683.49662414822,62.20155343805649,1.0330443942923252e6
1993-Q4,3.6944087669200003e6,8.565296650378e6,2.0334202768574e7,38862343,38854461,19439273,3.2593908185872e7,11.334660286370204,95063.9740614713,26.278826710601933,220445.6433040726,62.386513003027865,1.0460372035813273e6
1994-Q1,3.630326721384e6,8.449633849952001e6,2.0439506508964002e7,38963973,38956866,19489560,3.2519467080300003e7,11.163549243964145,93171.36939254115,25.98330971749138,216897.1664700133,62.85314103854448,1.0487413009305496e6
1994-Q2,3.6747502371247504e6,8.41693475358225e6,2.0327341205304e7,39066766,39060514,19540415,3.2419026196011e7,11.335165389936698,94063.33345137272,25.962947507096658,215484.48526771177,62.701887102966644,1.0402717242854873e6
1994-Q3,3.7607321995045003e6,8.439307509566002e6,2.0374718065187003e7,39170855,39165524,19591920,3.2574757774257503e7,11.544927595674872,96008.42768186961,25.9075065670488,215477.96755038953,62.54756583727633,1.0399551481012072e6
