time,liquid_quants_0.1,liquid_quants_0.2,liquid_quants_0.3,liquid_quants_0.4,liquid_quants_0.5,liquid_quants_0.6,liquid_quants_0.7,liquid_quants_0.8,liquid_quants_0.9,liquid_quants_0.999999,liquid_levels_0.1,liquid_levels_0.2,liquid_levels_0.3,liquid_levels_0.4,liquid_levels_0.5,liquid_levels_0.6,liquid_levels_0.7,liquid_levels_0.8,liquid_levels_0.9,liquid_levels_0.999999,liquid_shares_0.1,liquid_shares_0.2,liquid_shares_0.3,liquid_shares_0.4,liquid_shares_0.5,liquid_shares_0.6,liquid_shares_0.7,liquid_shares_0.8,liquid_shares_0.9,liquid_shares_0.999999
2001-Q1,-5.495088492297613,-3.9603881877668483,0.3878577460516559,8.683868212668706,30.023501419605118,81.9478205459732,191.05075273628967,436.8733890652371,1046.306786185723,2497.691814468003,-2747.5442461488065,-1980.194093883424,193.92887302582795,4341.934106334353,15011.75070980256,40973.9102729866,95525.37636814483,218436.69453261857,523153.3930928615,1.2488459072340014e6,-0.0012828470319595747,-0.0009245660446061652,9.054670530644283e-5,0.0020272784647899717,0.007009088159210032,0.019130996436237908,0.04460144571737641,0.10198957328713143,0.24426386527877228,0.5830946190277413
2001-Q2,-5.575519100005888,-3.3880328683005825,0.7053414569035287,11.581925606097201,37.49940605974564,93.78433642748676,231.8308878909794,546.4803031963772,1198.0077191510513,2567.0412982136318,-2787.759550002944,-1694.0164341502912,352.6707284517643,5790.9628030486,18749.70302987282,46892.16821374338,115915.4439454897,273240.1515981886,599003.8595755256,1.283520649106816e6,-0.0011918678148395317,-0.0007242531608118178,0.00015077946391654412,0.002475845587858987,0.008016174701681523,0.02004809419877803,0.0495580355491273,0.11682002574842279,0.25609576736701467,0.5487513983588514
2001-Q3,-5.534461883319501,-3.691333836686932,0.5865536525383459,9.657142385276927,31.320733670978512,79.19060476878467,197.20973346778095,482.9665441606861,1141.3097101779763,2601.3922569917086,-2767.230941659751,-1845.666918343466,293.27682626917294,4828.571192638464,15660.366835489256,39595.30238439234,98604.86673389048,241483.27208034304,570654.8550889881,1.3006961284958543e6,-0.0012205479775230898,-0.0008140719267233382,0.00012935618483021535,0.0021297473639718266,0.006907348707535629,0.017464377662566435,0.04349184191826006,0.10651150032549801,0.2516998558945128,0.5737005918470715
2001-Q4,-5.5492238384534165,-3.3635626415345836,1.632399904547792,12.838152723785921,36.70129461050219,89.85002489816216,215.98349924281572,499.71833148183225,1139.4497777774104,2577.5206864645893,-2774.6119192267083,-1681.7813207672918,816.199952273896,6419.07636189296,18350.647305251096,44925.01244908108,107991.74962140786,249859.16574091613,569724.8888887052,1.2887603432322945e6,-0.00121566037357418,-0.0007368507626262359,0.00035760746647734695,0.0028124353946676686,0.008040099086955162,0.019683313921571972,0.04731519019938415,0.10947256611302575,0.24961760110004097,0.5646536978540775
2002-Q1,-5.526113339714258,-3.96142077100804,0.5380123769520107,9.061518805312987,30.16663530572973,78.4140585895461,196.2865913580986,480.9241773230616,1122.2512303238132,2551.9065313038145,-2763.0566698571292,-1980.71038550402,269.0061884760053,4530.759402656494,15083.317652864866,39207.02929477305,98143.2956790493,240462.0886615308,561125.6151619066,1.2759532656519073e6,-0.0012390218576716651,-0.0008881987431273527,0.00012062892194967125,0.002031702785174176,0.00676372673133439,0.017581386151268828,0.04400984238103336,0.10782905289033547,0.25162238243959395,0.5721684983001091
2002-Q2,-5.595580206926764,-3.377903901383026,0.4758523523794221,10.63936093671104,33.76423470058218,86.88613501935681,215.96143908883255,497.3602568501498,1109.670664091057,2530.048820230668,-2797.790103463382,-1688.951950691513,237.92617618971104,5319.680468355519,16882.11735029109,43443.06750967841,107980.71954441628,248680.12842507492,554835.3320455285,1.265024410115334e6,-0.0012501761924374286,-0.0007546983300539505,0.00010631592436539006,0.0023770681956018663,0.007543675690017681,0.019412281378728084,0.04825055483954357,0.11112126521015839,0.24792493260583648,0.5652687806782398
2002-Q3,-5.528955531296956,-3.550458588961485,0.7103750567443377,10.818127686975776,31.457800012899476,81.47291340488476,194.92678408224575,445.10060087654784,1057.947619639578,2499.1071754158625,-2764.477765648478,-1775.2292944807425,355.1875283721688,5409.063843487888,15728.900006449738,40736.45670244238,97463.39204112288,222550.30043827393,528973.809819789,1.2495535877079312e6,-0.0012820879475119802,-0.00082330200329539,0.0001647261030242744,0.002508573462674204,0.007294626629474776,0.01889243632614049,0.045200812179528226,0.10321264343399414,0.24532334987341056,0.5795082219425608
2002-Q4,-5.471106100908477,-3.674201822112269,0.8476901407169544,10.192985158774112,32.77356399712701,90.54991431178364,225.1481896774602,519.1824312095804,1160.036229281753,2589.3602926589033,-2735.5530504542385,-1837.1009110561345,423.8450703584772,5096.492579387056,16386.781998563507,45274.95715589182,112574.0948387301,259591.2156047902,580018.1146408765,1.2946801463294516e6,-0.0011844923310457946,-0.0007954632574725259,0.00018352458392565903,0.0022067773003025346,0.007095463787329849,0.019604021033580714,0.048744495007602265,0.11240279329975768,0.25114738993845426,0.5605954906375654
2003-Q1,-5.520469186080615,-4.021354999271236,0.26650011521222217,8.815615159952003,30.318968212999128,82.35496470380005,194.7576687327254,449.8174296284745,1054.034781400608,2460.59062148923,-2760.2345930403076,-2010.677499635618,133.25005760611108,4407.807579976002,15159.484106499563,41177.48235190003,97378.8343663627,224908.71481423723,527017.390700304,1.230295310744615e6,-0.0012924217246892654,-0.0009414573994635162,6.239153356763947e-5,0.0020638630821361538,0.00709810921279022,0.019280489018502517,0.045595588642116165,0.10530876970775573,0.24676479555307737,0.5760598723742071
2003-Q2,-5.5382027834610845,-3.616971149135643,0.5022026241654706,9.766109196843614,32.23801965661059,83.33416129033272,189.794375598708,429.9809459719413,1046.7527707338395,2512.2287994877283,-2769.101391730542,-1808.4855745678215,251.1013120827353,4883.054598421807,16119.009828305294,41667.08064516636,94897.187799354,214990.47298597064,523376.38536691974,1.256114399743864e6,-0.0012893207525313073,-0.0008420486114763016,0.00011691523236488794,0.00227359808791765,0.0075051689851277385,0.019400601196345145,0.044185060883633366,0.10010167169938954,0.24368917550421587,0.5848591777750134
2003-Q3,-5.458683724612887,-3.5462520442165366,0.974125842686995,11.247491606261065,36.70579530159057,90.47573444415077,207.6933482898671,482.9232650991936,1118.8767310936296,2491.122622229783,-2729.3418623064435,-1773.1260221082682,487.06292134349746,5623.745803130532,18352.897650795283,45237.86722207539,103846.67414493354,241461.6325495968,559438.3655468147,1.2455613111148914e6,-0.0012319264857117483,-0.0008003251403962955,0.0002198426372664573,0.0025383560408706795,0.008283836121014696,0.020418741806455625,0.04687264358452772,0.1089870728651316,0.25251030263318175,0.5622014559376597
2003-Q4,-5.505546985948404,-3.818112265809358,0.6527355098507149,10.437844960979936,33.84314523327117,87.43424446977984,206.05225373301954,470.4487461996027,1074.3591716522644,2506.0001444111467,-2752.773492974202,-1909.0561329046789,326.3677549253575,5218.922480489968,16921.572616635585,43717.12223488992,103026.12686650977,235224.37309980133,537179.5858261322,1.2530000722055733e6,-0.001257001568507277,-0.0008717341109082334,0.0001490296171836967,0.0023831215174939416,0.007726913738093037,0.01996259095059369,0.04704491793420729,0.10741072837712122,0.2452928232841952,0.5721586102605274
2004-Q1,-5.603157627206839,-3.680717651074632,-0.16971216829649688,8.901743452680687,29.437701877065322,75.2285937115179,179.4268071463158,417.08155844056256,1019.2765505941773,2497.9618649279105,-2801.5788136034193,-1840.358825537316,-84.85608414824844,4450.871726340343,14718.850938532662,37614.29685575895,89713.4035731579,208540.77922028129,509638.2752970886,1.2489809324639551e6,-0.0013284357445811964,-0.0008726502480773388,-4.023654618616062e-5,0.0021104875105088894,0.006979295963749793,0.017835720418733717,0.04253976061495582,0.0988846089118994,0.24165720358249437,0.5922342455365026
2004-Q2,-5.596011562853115,-3.737981309370249,-0.40763337855309917,8.956417665074339,30.647700595385363,82.33825480422173,205.18318573596056,479.3668235950158,1119.0527145394994,2565.9989113865736,-2798.0057814265574,-1868.9906546851246,-203.8166892765496,4478.20883253717,15323.850297692681,41169.12740211087,102591.59286798027,239683.4117975079,559526.3572697497,1.2829994556932868e6,-0.0012486073873402925,-0.0008340352810565021,-9.095300144955067e-5,0.00199839638197875,0.006838253448654657,0.018371683484664225,0.045781399589767124,0.10695849185869494,0.24968809847934587,0.5725372724267407
2004-Q3,-5.671372893697514,-3.667908899291701,-0.062155340121885894,10.235461332789068,33.97065054567974,82.74709558156991,199.94412072019384,467.60817478413236,1058.0362724458505,2484.8368313747405,-2835.686446848757,-1833.9544496458504,-31.077670060942946,5117.730666394534,16985.32527283987,41373.547790784956,99972.06036009692,233804.08739206617,529018.1362229253,1.2424184156873703e6,-0.00131039806158537,-0.0008474880424535043,-1.4361291126423812e-5,0.0023649527092150617,0.007849082657802566,0.01911911554473988,0.04619805347454684,0.10804312417889858,0.24446438393087963,0.5741335348990826
2004-Q4,-5.654479846282393,-3.5018525617279415,0.27585832278601974,10.38856941876173,32.991988201331836,83.88105223216304,200.18330925451363,460.80158386798007,1094.257694989713,2538.7016043811745,-2827.2399231411964,-1750.9262808639708,137.92916139300988,5194.284709380865,16495.994100665917,41940.52611608152,100091.65462725681,230400.79193399003,547128.8474948565,1.2693508021905874e6,-0.0012815192501935723,-0.000793652394418652,6.251994181371449e-5,0.002354443212114073,0.007477233827257051,0.0190106227423701,0.04536911817729386,0.10443508798333642,0.24800022971586522,0.5753659160445619
2005-Q1,-5.55087756002802,-3.2270803126023284,1.0211128944563928,11.112911032446013,35.33510361644881,89.9310234307371,213.4055771229704,483.5434062810092,1091.0058152410122,2502.7271654038764,-2775.4387800140103,-1613.5401563011642,510.55644722819636,5556.455516223006,17667.551808224405,44965.51171536855,106702.78856148521,241771.7031405046,545502.9076205061,1.2513635827019382e6,-0.0012560523925575107,-0.0007302236274869181,0.0002310573923282146,0.0025146291446053997,0.007995626089523047,0.02034958903772914,0.04828940700487551,0.10941618614293559,0.24687276015519127,0.5663170210528562
