time,income_quants_0.1,income_quants_0.2,income_quants_0.3,income_quants_0.4,income_quants_0.5,income_quants_0.6,income_quants_0.7,income_quants_0.8,income_quants_0.9,income_quants_0.999999,income_levels_0.1,income_levels_0.2,income_levels_0.3,income_levels_0.4,income_levels_0.5,income_levels_0.6,income_levels_0.7,income_levels_0.8,income_levels_0.9,income_levels_0.999999,income_shares_0.1,income_shares_0.2,income_shares_0.3,income_shares_0.4,income_shares_0.5,income_shares_0.6,income_shares_0.7,income_shares_0.8,income_shares_0.9,income_shares_0.999999
2001-Q1,0.5477812591344762,0.10946333827777249,1.2232700272164965,0.42050756161305636,0.9878148136703836,1.682012300705232,0.3316947330252074,3.2319999144747733,0.4976864701778328,183.99939486275733,273.8906295672381,54.73166913888625,611.6350136082482,210.25378080652817,493.9074068351918,841.006150352616,165.8473665126037,1615.9999572373868,248.8432350889164,91999.69743137866,0.0028377798629468662,0.0005670746341092798,0.00633714825451749,0.0021784386936638004,0.0051173729290842004,0.008713661806744025,0.0017183439891896599,0.016743369951783844,0.0025782638956347447,0.9532085459823262
2001-Q2,0.5214885845161962,0.18672760621185372,1.1613568940782648,0.44146929400872287,1.094297107658619,1.500228830911287,0.5391720698263152,3.0698842473896955,0.9263611561638151,193.897862889829,260.7442922580981,93.36380310592686,580.6784470391324,220.73464700436142,547.1485538293095,750.1144154556436,269.58603491315756,1534.9421236948476,463.1805780819075,96948.9314449145,0.002564628391967314,0.0009183075807868219,0.005711436361590367,0.0021711015719489304,0.0053816430788272505,0.007377974453213602,0.002651593993596623,0.015097381869275226,0.004555750965320701,0.9535701817334732
2001-Q3,0.5072532276193369,0.22902489319317973,1.1187807626422335,0.4613070643622924,1.1534647937448814,1.400107359591801,0.6684166613950355,3.002422303157839,1.2414881498636503,198.58493580281436,253.62661380966844,114.51244659658987,559.3903813211167,230.6535321811462,576.7323968724407,700.0536797959005,334.20833069751774,1501.2111515789195,620.7440749318251,99292.46790140717,0.0024344197413996124,0.0010991408056250295,0.005369274805124063,0.0022139140042563153,0.005535731094468699,0.006719422983794206,0.0032078784862885398,0.014409284611415066,0.005958174529369004,0.9530527589382595
2001-Q4,0.5147021406349672,0.15929746278811838,1.1435747688906552,0.4188375621439069,1.0675907008218009,1.5032069639226657,0.5110511088843216,3.085520668991471,0.8144734374653784,192.73781190567286,257.3510703174836,79.64873139405918,571.7873844453276,209.41878107195345,533.7953504109005,751.6034819613328,255.5255544421608,1542.7603344957354,407.2367187326892,96368.90595283643,0.0025485846946505454,0.0007887728523095286,0.005662492776089411,0.002073904334471674,0.005286252194150765,0.007443237474045101,0.00253050634815698,0.015278177670523054,0.004032923846718234,0.9543551478088846
2002-Q1,0.5255894566712765,0.16617353173529334,1.1623473742680337,0.4282318893396329,1.0715755316507702,1.539968905049583,0.501091412610283,3.100021899412206,0.8396028744060258,192.06134042303879,262.7947283356383,83.08676586764668,581.1736871340169,214.11594466981646,535.7877658253851,769.9844525247915,250.5457063051415,1550.010949706103,419.8014372030129,96030.67021151939,0.0026097320932284207,0.0008251086343346096,0.005771453760352515,0.0021263183474634507,0.005320740398748855,0.007646474302461708,0.002488090894007628,0.015392673003459607,0.004168916516669506,0.9536504920492737
2002-Q2,0.544414526820339,0.13821517425333074,1.2208881205933988,0.44310388329401246,1.0300857808163366,1.6399961370149734,0.39360441600592033,3.198888156760637,0.6662538085466847,187.0885306779841,272.2072634101695,69.10758712666536,610.4440602966994,221.55194164700623,515.0428904081683,819.9980685074867,196.80220800296016,1599.4440783803186,333.12690427334235,93544.26533899205,0.002772476525120652,0.0007038723383648399,0.006217474897140112,0.0022565435970224646,0.005245798018751869,0.008351817534551319,0.0020044634185897863,0.016290605566504524,0.003392953260737464,0.9527639948432169
2002-Q3,0.5334556440842332,0.11757752536976637,1.192654560565622,0.41642426252596815,1.0172509321637087,1.6462396823722203,0.42923991825274205,3.212150680298363,0.6301366390147927,187.12177320042113,266.7278220421166,58.78876268488319,596.327280282811,208.2121312629841,508.6254660818543,823.1198411861102,214.61995912637101,1606.0753401491813,315.0683195073963,93560.88660021056,0.0027173189664761958,0.0005989169732510198,0.006075149628312055,0.00212118394324084,0.005181677768878505,0.008385623738136764,0.0021864643930033945,0.016362068830929694,0.003209793090868655,0.9531618026669029
2002-Q4,0.5443212165298149,0.07703451128981209,1.231003169261414,0.41298995560265245,0.9560338391666922,1.723743729042454,0.2919764037311222,3.244547508350601,0.3852737483856672,181.4483291893333,272.16060826490747,38.517255644906044,615.501584630707,206.49497780132623,478.01691958334607,861.8718645212269,145.9882018655611,1622.2737541753006,192.6368741928336,90724.16459466664,0.002860102945903152,0.0004047731853644049,0.006468231779144395,0.00217003077002577,0.005023422047033111,0.009057307280518918,0.0015341723730143255,0.017048278856218336,0.0020243976337391933,0.9534092831290384
2003-Q1,0.48659116980199907,0.26979453300329503,1.0608996154115935,0.4623833538365791,1.2039210072681812,1.2882885075474844,0.7969830706114367,2.8744455906887643,1.5143077892099563,203.1897106888084,243.29558490099953,134.89726650164752,530.4498077057967,231.19167691828955,601.9605036340906,644.1442537737422,398.49153530571834,1437.2227953443821,757.1538946049782,101594.85534440419,0.002282886585873642,0.0012657655102658123,0.00497730672335699,0.0021693134226712712,0.005648304549098957,0.0060441223251380995,0.0037391183276251874,0.013485722076455276,0.007104512275218805,0.9532829482042959
2003-Q2,0.5268832142862803,0.15718447261522697,1.1800757425044317,0.43333260497376497,1.0687747705394557,1.579998268038397,0.4885849969100649,3.1321410794889535,0.7800362457058094,190.8533291255846,263.4416071431401,78.59223630761349,590.0378712522158,216.66630248688247,534.3873852697278,789.9991340191986,244.29249845503244,1566.0705397444767,390.0181228529047,95426.6645627923,0.0026317798107438383,0.0007851358904108173,0.005894474202368945,0.002164494844748152,0.0053385262370681695,0.007892085817283859,0.002440480349031556,0.0156450337264333,0.0038962783163965847,0.9533117108055148
